URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)",Remarks
https://www.katespade.com/products/multi-tweed-dress/NJMUA347.html,448,,Pink,NYC,Dining,Dresses,
https://www.katespade.com/products/flora-lace-ruffle-dress/NJMUA370.html,428,,Blue,NYC,Dining+PP,Dresses,
https://www.katespade.com/products/spade-lace-mini-dress/716454502914.html,698,,Black,NYC,PP+Dining,Dresses,
https://www.katespade.com/products/matches-crepe-sheath-dress/NJMUA381.html,428,,Yellow,NYC,PP ,Dresses,
https://www.katespade.com/products/floral-dots-burnout-dress/NJMUA352.html,398,,Pink,,PP,Dresses,
https://www.katespade.com/products/colorblock-crepe-dress/NJMUA357.html,298,,"Black, Blue",,Dining,Dresses,
https://www.katespade.com/products/paneled-crepe-dress/NJMUA376.html,298,,Black,,Dining,Dresses,
https://www.katespade.com/products/floral-organza-dress/NJMUA388.html,548,,Yellow,,PP+Dining,Dresses,
https://www.katespade.com/products/flutter-sleeve-tweed-dress/NJMUA267.html,348,,Pink,,Dining+PP,Dresses,
https://www.katespade.com/products/poplin-ruffle-tiered-dress/716454512838.html,498,,White,"NYC, LA",Dining+PP,Dresses,
https://www.katespade.com/products/open-tweed-jacket/NJMUA395.html,428,,Pink,NYC ,PP,Outerwear,
https://www.katespade.com/products/bicolor-scallop-tweed-jacket/NJMUA401.html,428,,Black,NYC,Dining+PP,Outerwear,
https://www.katespade.com/products/multi-tweed-jacket/NJMUA402.html,448,,Pink,NYC,Dining+PP,Outerwear,
https://www.katespade.com/products/menswear-lapel-trench/NJMUA219.html,798,,Violet,NYC,Dining+PP,Outerwear,
https://www.katespade.com/products/multi-tweed-coat/NJMUA405.html,598,,Pink,NYC,Dining+PP,Outerwear,
https://www.katespade.com/products/leather-moto-jacket/716454328866.html,798,,Black,"NYC, LA",PP,Outerwear,
https://www.katespade.com/products/marker-floral-anorak/1JMU0388.html,268,,Pink,LA,PP,Outerwear,Athleisure
https://www.katespade.com/products/nylon-scallop-anorak/1JMU0386.html,298,,Black,"NYC, LA",PP,Outerwear,Athleisure
https://www.katespade.com/products/daesha-sunglasses/DAESHASF.html,160,,,"NYC,LA",PP,Accessories,Sunglasses
https://www.katespade.com/products/nastasi-sunglasses/NASTASIS.html,140,,,"NYC,LA",PP,Accessories,Sunglasses
https://www.katespade.com/products/wild-bouquet-silk-scarf/KS1002015.html,88,,,"NYC,LA",PP+Dining,Accessories,Scarf
https://www.katespade.com/products/mrs-sunhat/KS1002002.html,98,,,LA,PP,Accessories,Straw hat
https://www.katespade.com/products/marker-floral-embroidery-trilby/KS1001994.html,118,,,LA,PP,Accessories,Straw hat
https://www.katespade.com/products/bicolor-pop-sunhat/KS1001988.html,88,,,LA,PP,Accessories,Straw hat
https://www.katespade.com/products/skyline-oblong-scarf/KS1001867.html,168,,,NYC,PP+Dining,Accessories,Scarf (NYC skyline)
https://www.katespade.com/products/taxi-square-scarf/KS1001266.html,78,,,NYC,PP,Accessories,Scarf (NYC cabs)
https://www.katespade.com/products/manhattan-map-oblong-scarf/KS1001892.html,88,,,NYC,PP,Accessories,Scarf (NYC map)
https://www.katespade.com/products/map-oblong-scarf/KS1000251.html,118,,,NYC,PP,Accessories,Scarf (NYC map)
https://www.katespade.com/products/resin-buckle-belt/KS2000.html,108,,,NYC,PP+Dining,Accessories,Belt
,,,,,,,
,,,,,,,
Dresses,10,,,,,,
Outerwear,8,,,,,,
Accessories,11,,,,,,
Total,29,,,,,,
,,,,,,,
NYC,9,,,,,,
LA,7,,,,,,
