URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)"
https://www.renttherunway.com/shop/designers/jay_godfrey/blue_harrington_midi,324,Jay Godfrey,Blue Harrington Midi,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/red_gallagher_dress,325,Jay Godfrey,Red Gallagher Dress,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/witherspoon_sheath,325,Jay Godfrey,Witherspoon Sheath,,,
https://www.renttherunway.com/shop/designers/jill_jill_stuart/midnight_cutout_sheath,368,Jill Jill Stuart,Midnight Cutout Sheath,,,
https://www.renttherunway.com/shop/designers/kate_spade_new_york/black_cold_shoulder_dress,298,kate spade new york,Black Cold Shoulder Dress,,,
https://www.renttherunway.com/shop/designers/kaufmanfranco/onyx_one_sleeve_dress,1195,KAUFMANFRANCO,Onyx One Sleeve Dress,,,
https://www.renttherunway.com/shop/designers/keepsake/red_mirrors_dress,195,Keepsake,Red Mirrors Dress,,,
https://www.renttherunway.com/shop/designers/la_petite_robe_di_chiara_boni/blue_yashiline_dress,695,La Petite Robe di Chiara Boni,Blue Yashiline Dress,,,
https://www.renttherunway.com/shop/designers/likely/black_packard_dress,198,LIKELY,Black Packard Dress,,,
https://www.renttherunway.com/shop/designers/likely/blue_dionne_dress,178,LIKELY,Blue Dionne Dress,,,
https://www.renttherunway.com/shop/designers/likely/brooklyn_dress,198,LIKELY,Brooklyn Dress,,,
https://www.renttherunway.com/shop/designers/likely/decklin_dress,198,LIKELY,Decklin Dress,,,
https://www.renttherunway.com/shop/designers/likely/red_brooklyn_dress,198,LIKELY,Red Brooklyn Dress,,,
https://www.renttherunway.com/shop/designers/likely/white_elana_dress,178,LIKELY,White Elana Dress,,,
https://www.renttherunway.com/shop/designers/marchesa_notte/metallic_jaipur_sheath,795,Marchesa Notte,Metallic Jaipur Sheath,,,Dresses
https://www.renttherunway.com/shop/designers/marchesa_notte/navy_mena_dress,795,"Marchesa Notte
Navy Mena Dress",,,,Dresses
https://www.renttherunway.com/shop/designers/milly/red_side_flutter_dress,395,Milly,Red Side Flutter Dress,,,
https://www.renttherunway.com/shop/designers/ml_monique_lhuillier/high_low_mikado_gown,695,ML Monique Lhuillier,High Low Mikado Gown,,,
https://www.renttherunway.com/shop/designers/nicholas/bandage_midi_dress,695,Nicholas,Bandage Midi Dress,,,
https://www.renttherunway.com/shop/designers/nicholas/black_poti_dress,395,Nicholas,Black Poti Dress,,,
https://www.renttherunway.com/shop/designers/nicholas/tiered_lace_dress,695,Nicholas,Tiered Lace Dress,,,Dresses
https://www.renttherunway.com/shop/designers/nicole_miller/black_and_blue_sheath,395,Nicole Miller,Black and Blue Sheath,,,
https://www.renttherunway.com/shop/designers/nicole_miller/cobalt_lace_illusion_dress,485,Nicole Miller,Cobalt Lace Illusion Dress,,,Dresses
https://www.renttherunway.com/shop/designers/nicole_miller/structured_cold_shoulder_dress,395,Nicole Miller,Structured Cold Shoulder Dress,,,
https://www.renttherunway.com/shop/designers/opening_ceremony/tie_waist_lotus_dress,425,Opening Ceremony,Tie Waist Lotus Dress,,,
https://www.renttherunway.com/shop/designers/parker/black_rory_dress,325,Parker,Black Rory Dress,,,
https://www.renttherunway.com/shop/designers/parker/conner_dress,297,Parker,Conner Dress,,,
https://www.renttherunway.com/shop/designers/parker/mace_knit_dress,298,Parker,Mace Knit Dress,,,
https://www.renttherunway.com/shop/designers/rachel_zoe/black_suzette_dress,375,Rachel Zoe,Black lace,,,Dresses
https://www.renttherunway.com/shop/designers/saloni/black_louise_dress,415,SALONI,Black Louise Dress,,,
https://www.renttherunway.com/shop/designers/saylor/emerald_rosemary_lace_dress,231,Saylor,Emerald Rosemary Lace Dress,,,
https://www.renttherunway.com/shop/designers/saylor/silver_illusion_sheath,276,Saylor,Silver Illusion Sheath,,,
