sku,title,description,details,designer,mrsp,currencyId,URL,prices,variants,optionTypes,defaultImages,,,sku,title,description,details,designer,mrsp,currencyId,prices,variants,optionTypes,defaultImages
,SEAPORT LIGHT BLUE AND WHITE STRIPED TIE-FRONT DRESS,"Light blue and white striped, lightweight woven rayon shapes ruffled short sleeves, a plunging V-neckline, with a tying bodice with front and back cutout. Fitted waist (with more ruffles) tops an A-line skirt. Hidden side zipper.","Fully lined.
100% Rayon.
Hand Wash Cold.
Imported.",Lulus,$59,USD,https://www.lulus.com/products/seaport-light-blue-and-white-striped-tie-front-dress/487632.html,,,,,,,,,,,,,,,,,
,,,,,$155,,https://www.lulus.com/products/soraya-navy-blue-long-sleeve-tie-front-mini-dress/738832.html,,,,,,,,,,,,,,,,,
