URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)",Remarks
https://www.reddressboutique.com/collections/all-dresses/products/matters-of-the-heart-dark-coral-maxi-dress,66,,"Black, red, green, blue","NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/savanna-chic-leopard-sequin-dress,66,,Black ,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/always-together-orange-multi-stripe-dress,64,,Rainbow,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/meet-me-in-malibu-maxi-dress-in-paradise-love,60,,Red,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/walk-this-way-black-floral-print-high-low-dress,60,,Black,LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/midwest-shooting-star-black-sequin-dress,56,,Black,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/strive-for-it-black-lace-high-low-dress,56,,Black,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/hearts-in-a-riot-pink-multi-print-strapless-dress,114,,Pink,LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/hope-shell-be-cream-embroidered-maxi-dress,105,,"White, purple","NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/stars-in-your-eyes-white-off-the-shoulder-midi-dress,104,,White ,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/flirts-with-love-light-chambray-dress,108,,Blue,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/right-for-me-shamrock-green-dress,98,,Green,LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/want-you-to-stay-ivory-blush-lace-dress,98,,"Pink, white","NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/night-at-the-met-black-maxi-dress,88,,"Black, white","NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/no-reason-to-fear-grapefruit-stripe-maxi-dress,88,,Rainbow,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/where-she-goes-green-maxi-dress,88,,Green,LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/ever-after-dot-your-is-nude-maxi-dress,84,,Yellow,LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/time-is-yours-white-and-nude-lace-dress,80,,White,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/sequin-to-believe-beige-dress,74,,"White, gray","NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/chic-on-vacay-white-striped-maxi-dress,74,,White,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/flirt-on-by-pink-multi-stripe-maxi-dress,74,,Rainbow,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/let-me-count-the-ways-ivory-polka-dot-maxi-dress,74,,White,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/could-stop-time-white-maxi-dress,72,,White,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/all-mine-all-the-time-red-dress,72,,"Red, white, yellow",LA,Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/ever-after-in-any-event-blush-pink-maxi-dress,68,,Pink,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/secret-keeper-light-camel-sweater-dress,68,,Brown,NYC ,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/shimmer-down-rose-gold-sequin-dress,54,,Gold,"NYC, LA",Dining+PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/dream-your-own-reality-pink-tropical-maxi-dress,54,,Red,LA,PP,Dresses,
https://www.reddressboutique.com/collections/all-dresses/products/wild-idea-sweater-dress-in-trendy-leopard-grey,52,,"Grey, brown",LA,PP,Dresses,
