URL,"Category (Dresses, Outerwear, Accesories)","City (LA, NYC)",Color,"Activity (Dining, PP)"
https://www.reddressboutique.com/collections/all-dresses/products/want-me-back-white-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/follow-along-with-me-light-leopard-print-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/hurry-tomorrow-black-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/laced-in-chic-grey-lace-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/polished-posh-black-and-white-stripe-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/clear-to-me-white-lace-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/jump-into-style-white-jumper,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/follow-along-with-me-green-multi-print-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/on-my-way-to-you-red-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/my-favorite-thought-green-multi-print-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/the-black-paige-cotton-slub-t-shirt-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/exotic-vacation-black-embroidered-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/cause-for-festivity-rainbow-stripe-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/know-how-this-goes-red-print-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/burning-up-the-road-red-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/coasts-of-cabo-punta-mita-teal-rainbow-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/time-to-bloom-blue-floral-lace-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/see-it-go-light-blue-eyelet-midi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/pass-it-along-navy-stripe-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/bloom-again-green-floral-print-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/depend-on-this-red-lace-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/all-for-hope-white-lace-maxi-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/let-this-be-blush-pink-floral-print-dress,Dresses,,,
https://www.reddressboutique.com/collections/all-dresses/products/wistful-thinking-light-blue-dress,Dresses,,,
